Language	Gmorning	Gnight
Chinese	早安,早上好	晚安
English	Good morning	Good night
Spanish	Buenas dias	Buenas noches
Arabic	صباح الخير	تصبح على خير
Bengali	সুপ্রভাত	শুভ রাত্রি
Hindi	शुभ प्रभात	शुभ रात्रि
Russian	Доброе утро	Доброй ночи
Portuguese	Bom Dia	Boa noite
Japanese	おはようございます	おやすみ
German	Guten Morgen	Gute Nacht
Javanese	Sugeng enjang	Sugeng dalu
Korean	좋은 아침	안녕히 주무세요
French	Bon matin	Bonne nuit
Turkish	Günaydın	İyi geceler
Vietnamese	Chào buổi sáng	Chúc ngủ ngon
Telugu	శుభోదయం	శుభ రాత్రి
Marathi	शुभ प्रभात	शुभ रात्री
Tamil	காலை வணக்கம்	இனிய இரவு
Italian	Buongiorno	Buona notte
Urdu	صبح بخیر	شب بخیر
Gujarati	સુપ્રભાત	શુભ રાત્રી
Polish	Dzień dobry	Dobranoc
Ukranian	Доброго ранку	Надобраніч
Malayalam	സുപ്രഭാതം	ശുഭ രാത്രി
Kannada	ಶುಭೋದಯ	ಶುಭ ರಾತ್ರಿ
Oriya
Panjabi (Western)
Sunda
Panjabi (Eastern)
Romanian	Buna dimineata	Noapte buna
Bhojpuri
Azerbaijani (South)	Sabahınız xeyir	Salam
Maithili
Hausa Barka da safiya	Good dare
Burmese	မင်္ဂလာနံနက်ခင်းပါ	ကောင်းသောညပါ
Serbo-Croatian	Добро јутро,Dobro jutro	Лаку ноћ,Laku noć
Awadhi
Thai	สวัสดีตอนเช้า	ราตรีสวัสดิ์
Dutch	Goedemorgen	Goede nacht
Yoruba	E kaaro	Kasun layọ o
Sindhi
